time,open,high,low,close,EMA24,EMA9,Volume,Volume MA,RSI
2021-05-19T16:00:00Z,37310.14,40118.81,36111,39580.68,39967.527447235276,38345.30892911113,24998.731071,14485.332137050023,47.00761972530712
2021-05-19T17:00:00Z,39558.79,40442,38866.02,39370.61,39919.77405145645,38550.3691432889,16280.308953,15168.603924400022,46.12338626975372
2021-05-19T18:00:00Z,39366.87,39616.04,37600,37961.02,39763.073727339935,38432.499314631124,12160.449338,15625.59020385002,40.604109976389914
2021-05-19T19:00:00Z,37961.01,39499.94,37711,39342.93,39729.46222915274,38614.5854517049,9791.172571,15855.97571465002,47.26635191595744
2021-05-19T20:00:00Z,39337.45,40200,37962.91,38217.41,39608.49805082052,38535.15036136392,10297.233515,16118.162688800017,43.03265035396338
2021-05-19T21:00:00Z,38222.2,38956.99,37032.96,38771.77,39541.55980675488,38582.47428909114,9138.808561,15907.884270250017,45.616451299798726
2021-05-19T22:00:00Z,38777.05,39800,38014.01,39090.15,39505.44702221449,38684.00943127291,7374.808601,15846.375879850017,47.10041699802267
2021-05-19T23:00:00Z,39070.57,39264.46,36600.01,36690.09,39280.21846043733,38285.22554501833,10416.878191,15911.01663425002,38.55878810686483
2021-05-20T00:00:00Z,36671.23,38180,34850,35817.31,39003.18578360235,37791.64243601466,18051.56914,15927.781792550019,36.00191640932935
2021-05-20T01:00:00Z,35825.8,37500,35519.99,36973.51,38840.811720914164,37628.01594881173,14885.312304,16043.32121105002,41.53298849625562
2021-05-20T02:00:00Z,36971.95,38300,36834.83,38051.34,38777.65398324103,37712.680759049385,8464.281508,16051.74263100002,46.200867676266824
2021-05-20T03:00:00Z,38051.35,38599,37838.2,38341.04,38742.724864581745,37838.35260723951,7146.536065,15885.01320765002,47.416059256575664
2021-05-20T04:00:00Z,38340.01,39780,38202.11,39425.54,38797.350075415205,38155.79008579161,8595.241684,15953.18049705002,51.8047915277047
2021-05-20T05:00:00Z,39425.53,39970,39130,39938.91,38888.67486938199,38512.41406863329,7152.524405,16044.755603000018,53.77167977049025
2021-05-20T06:00:00Z,39936.75,40202.12,39199.99,39684.4,38952.33287983143,38746.811254906635,7701.167306,15976.811367600018,52.625039205647525
2021-05-20T07:00:00Z,39681.67,40780.87,39650,39959.68,39032.92064944492,38989.38500392531,8751.094389,15112.339703400017,53.77324980922412
2021-05-20T08:00:00Z,39959.67,40250.01,39326.01,39826.97,39096.444597489324,39156.90200314025,5930.813428,13861.554041600019,53.10502593525062
2021-05-20T09:00:00Z,39826.97,40200,38700,39931.2,39163.22502969018,39311.7616025122,7643.569146,12031.741910000017,53.592795706149474
2021-05-20T10:00:00Z,39932.06,40479.79,39493.2,40399.99,39262.16622731496,39529.40728200976,8945.290938,11269.025447050017,55.818655448599074
2021-05-20T11:00:00Z,40399.99,40690.56,39701,40475.17,39359.20652912977,39718.55982560781,7448.043731,10558.691742250016,56.18163090812602
2021-05-20T12:00:00Z,40476.68,41975,40086.09,41699.99,39546.46920679939,40114.845860486246,12123.205654,9914.915471400016,61.70201050755539
2021-05-20T13:00:00Z,41699.99,42451.67,41351.13,41713.33,39719.81807025544,40434.542688388996,10904.793573,9646.139702400016,61.758519254473974
2021-05-20T14:00:00Z,41721.02,42200,41223.42,41439.32,39857.378224635,40635.498150711195,8729.815606,9474.608015800015,59.80650323000259
2021-05-20T15:00:00Z,41436.5,41999,40891.91,41432.88,39983.4183666642,40794.974520568954,6269.398347,9298.519304600017,59.75869620094496
2021-05-20T16:00:00Z,41432.88,41450,38110,39311.8,39929.68889733106,40498.33961645517,19028.564893,9735.085873500017,46.55807840151652
2021-05-20T17:00:00Z,39311.8,40249,38720,39785.36,39918.14258554458,40355.743693164135,7636.994685,9659.995179700016,49.25335372866993
2021-05-20T18:00:00Z,39784.97,40018.62,39220,39811.84,39909.63837870101,40246.96295453131,4978.062138,9540.157856550017,49.4070060419157
2021-05-20T19:00:00Z,39808.32,40448.23,39532.82,40116.04,39926.150508404935,40220.778363625046,4563.597908,9247.493842400017,51.233747366370835
2021-05-20T20:00:00Z,40116.04,40635,39638.27,39992.87,39931.48806773254,40175.19669090004,4115.183527,8550.674561750016,50.4396222834317
2021-05-20T21:00:00Z,39992.88,40829.61,39698.43,40688.48,39992.04742231394,40277.853352720034,2713.915902,7942.104741650017,54.70923071457491
2021-05-20T22:00:00Z,40686.18,41900,39383.52,41451.73,40108.822028528826,40512.62868217603,6423.191365,7840.050234500018,58.893762285166204
2021-05-20T23:00:00Z,41452.56,41727.27,40247.48,40526.64,40142.24746624652,40515.43094574082,4815.429281,7723.494895300018,52.55566965213305
2021-05-21T00:00:00Z,40525.39,42200,40470.23,41725.59,40268.9148689468,40757.46275659266,6509.397921,7619.202707150017,58.751496213804494
2021-05-21T01:00:00Z,41725.59,41821.63,41248.12,41429.68,40361.77607943105,40891.90620527413,3435.134195,7433.333196650016,56.78062453244577
2021-05-21T02:00:00Z,41427.61,41623.86,41039.38,41248.33,40432.70039307657,40963.190964219306,3209.984459,7208.774054300016,55.550719141791596
2021-05-21T03:00:00Z,41247.42,41266.07,40408.84,40666.91,40451.43716163045,40903.93477137545,3734.225381,6957.930603900017,51.685307629689156
2021-05-21T04:00:00Z,40662,40715.11,39672.01,39943.65,40410.81418870002,40711.87781710036,5317.76468,6927.278166500017,47.278176882731586
2021-05-21T05:00:00Z,39943.66,40296.68,39587.06,39846.48,40365.667453604015,40538.79825368029,3714.020245,6730.800721450016,46.702011901562805
2021-05-21T06:00:00Z,39846.48,40800,39222,40564.85,40381.60205731569,40544.00860294423,5987.785551,6582.925452100016,51.41591680865087
2021-05-21T07:00:00Z,40566.03,40650,39482.5,39842.57,40338.47949273044,40403.72088235539,4149.502118,6417.998371450016,46.92234396791639
2021-05-21T08:00:00Z,39842.58,40363.27,39277,40024.22,40313.338733312004,40327.82070588431,6230.216204,6123.348898950016,48.14967076439582
2021-05-21T09:00:00Z,40021.32,41194.18,40019.76,40876.67,40358.40523464704,40437.59056470745,5865.003849,5871.3594127500155,53.574916010259194
2021-05-21T10:00:00Z,40876.68,41199.99,40575.64,40738.21,40388.78961587528,40497.714451765954,4982.973,5684.017282450015,52.61199051555274
2021-05-21T11:00:00Z,40738.21,41230.67,40237.42,41124.29,40447.62964660525,40623.02956141276,4499.837691,5595.539249650015,55.03864655800961
2021-05-21T12:00:00Z,41124.3,41577,40470.07,40508,40452.459274876834,40600.023649130206,5801.891791,4934.205594550015,50.585581850470525
2021-05-21T13:00:00Z,40508.01,41299.86,40269,41112.03,40505.22493288669,40702.42491930416,3608.924532,4732.802086900016,54.4734709848385
2021-05-21T14:00:00Z,41112.03,41789.4,36600,37837.27,40291.78853825575,40129.39393544333,32595.276331,6113.662796550016,37.32661649602719
2021-05-21T15:00:00Z,37835.04,38300,36444.44,36794.57,40012.01105519529,39462.42914835466,18927.498405,6831.857821400015,33.690245621342655
2021-05-21T16:00:00Z,36803.28,37825.75,36100,37033.57,39773.73577077967,38976.65731868373,14854.153551,7368.806322600016,35.247394036128995
2021-05-21T17:00:00Z,37031.7,37384.49,36619.34,37341.74,39579.176109117296,38649.67385494698,8400.56227,7653.138641000015,37.29219631094913
2021-05-21T18:00:00Z,37341.8,37391.15,36346.8,37159.65,39385.61402038791,38351.66908395758,6770.644808,7670.511313150016,36.55759432431317
2021-05-21T19:00:00Z,37159.65,37169.87,35501.01,36062.12,39119.73449875688,37893.75926716607,11153.109966,7987.395347400015,32.413115702032655
2021-05-21T20:00:00Z,36062.13,36332.82,35150,35195.24,38805.77493885633,37354.05541373285,9165.465787,8120.198740700015,29.56236801673218
2021-05-21T21:00:00Z,35212.52,36691,33488,36588.77,38628.41454374782,37200.99833098628,18870.033763,8891.943719100014,38.869911021225995
2021-05-21T22:00:00Z,36592.48,37337.41,36000,36663.99,38471.260580247996,37093.59666478902,8385.285503,9150.708771300015,39.335887337376086
2021-05-21T23:00:00Z,36664,37447,36300,37252.01,38373.72053382816,37125.27933183122,5932.196257,9260.607315100015,42.994124741369895
2021-05-22T00:00:00Z,37263.35,37741.92,36877,37654.31,38316.167691121904,37231.085465464974,5150.910109,9252.264586550014,45.41918572864251
2021-05-22T01:00:00Z,37652.42,37987.63,37200,37620.76,38260.53507583215,37309.02037237198,4908.65525,9311.996336800015,45.246318182412324
2021-05-22T02:00:00Z,37620.75,38100,37139.91,37382.96,38190.329069765576,37323.80829789759,5044.531754,9264.833646950015,43.968926754032125
2021-05-22T03:00:00Z,37382.97,37716.14,36517.03,36951.85,38091.250744184326,37249.41663831807,8142.79395,9464.498238550015,41.67200561217993
2021-05-22T04:00:00Z,36947.31,37219.45,35875.11,36304.18,37948.28508464958,37060.36931065446,7326.519005,9519.313378600014,38.42443861753792
2021-05-22T05:00:00Z,36304.19,36713.09,35200.62,36376.25,37822.522277877615,36923.54544852357,7511.587748,9601.642573550014,38.99417043971256
2021-05-22T06:00:00Z,36376.26,36510.23,35500,36412.47,37709.718095647404,36821.33035881886,5196.141282,9612.300987650015,39.29814878090827
2021-05-22T07:00:00Z,36412.47,36496.13,35596.1,36269.28,37594.483047995614,36710.92028705509,5621.43452,9668.380829100015,38.481800258171035
